brand,model,model_year,milage,fuel_type,transmission,accident,price,engine_hp,brand_id,model_id,fuel_type_id,transmission_norm,age
Tesla,Model Y Long Range,2023,5,Electric,A/T,0,48000,425.0,52,1108,2,0,2
Audi,RS 3 2.5T,2023,2,Gasoline,Transmission w/Dual Shift Mode,0,78900,401.0,3,1304,3,2,2
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52,Gasoline,6-Speed Manual,1,15000,348.0,19,808,3,1,11
Porsche,Boxster RS 60 Spyder,2008,58,Gasoline,6-Speed Manual,0,41500,303.0,43,314,3,1,17
Ford,F-250 XLT,2010,52,Diesel,6-Speed Manual,0,26095,432.0,14,681,0,1,15
Kia,Sorento EX,2016,64,Gasoline,6-Speed A/T,0,16999,232.0,24,1593,3,0,9
Nissan,370Z Touring,2009,38,Gasoline,6-Speed Manual,0,21500,332.0,39,63,3,1,16
Genesis,G70 2.0T,2023,2,Gasoline,8-Speed A/T,0,40750,252.0,16,750,3,0,2
Land,Rover Range Rover Sport Supercharged,2013,57,Gasoline,Transmission w/Dual Shift Mode,0,26000,510.0,26,1433,3,2,12
Mercedes-Benz,S-Class S 560 4MATIC,2020,22,Gasoline,A/T,0,69500,463.0,36,1453,3,0,5
Ford,Bronco Wildtrak Advanced,2023,2,Gasoline,A/T,0,66500,315.0,14,329,3,0,2
RAM,1500 SLT,2018,62,E85 Flex Fuel,8-Speed A/T,0,32000,305.0,44,14,1,0,7
Jeep,Grand Cherokee Laredo,2013,107,E85 Flex Fuel,6-Speed A/T,0,13500,290.0,22,845,1,0,12
Audi,RS 5 4.2,2013,76,Gasoline,7-Speed A/T,1,35999,450.0,3,1308,3,0,12
Jeep,Grand Cherokee L Overland,2022,32,Gasoline,A/T,1,48995,304.0,22,843,3,0,3
Chrysler,Crossfire Limited,2005,116,Gasoline,5-Speed A/T,1,6000,215.0,10,519,3,0,20
Audi,S5 4.2 Premium Plus,2011,157,Gasoline,6-Speed Manual,1,9900,354.0,3,1472,3,1,14
Tesla,Model X Base,2023,197,Electric,A/T,0,85000,670.0,52,1101,2,0,2
Cadillac,CT4 Luxury,2020,35,Gasoline,8-Speed A/T,0,28500,237.0,8,365,3,0,5
Maserati,Ghibli S Q4,2014,76,Gasoline,A/T,0,19000,404.0,32,812,3,0,11
Jaguar,F-PACE 25t Premium,2019,29,Gasoline,A/T,0,34500,247.0,21,692,3,0,6
BMW,750 i xDrive,2019,33,Gasoline,A/T,1,44495,445.0,4,133,3,0,6
Acura,TLX V6 Advance,2019,26,Gasoline,9-Speed A/T,1,30999,309.0,0,1646,3,0,6
GMC,Terrain SLT-1,2015,76,Gasoline,6-Speed A/T,1,9500,182.0,15,1689,3,0,10
BMW,i3 Base w/Range Extender,2014,30,Electric,1-Speed A/T,0,12800,170.0,4,1892,2,0,11
Nissan,Versa 1.8 S,2011,110,Gasoline,A/T,0,4500,122.0,39,1752,3,0,14
Mercedes-Benz,C-Class C 300 4MATIC,2019,23,Gasoline,9-Speed A/T,0,33500,255.0,36,335,3,0,6
Toyota,Matrix XRS,2003,144,Gasoline,6-Speed Manual,0,4199,180.0,53,1048,3,1,22
RAM,1500 Limited,2021,22,Gasoline,8-Speed A/T,0,54800,395.0,44,11,3,0,4
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13,Hybrid,9-Speed A/T,0,81500,429.0,36,215,4,0,3
Audi,A5 2.0T Premium,2018,53,Gasoline,A/T,1,28000,252.0,3,176,3,0,7
Lincoln,Navigator Reserve,2019,45,Gasoline,10-Speed A/T,0,52999,450.0,28,1148,3,0,6
Audi,A6 3.2 quattro,2008,202,Gasoline,A/T,1,5700,255.0,3,186,3,0,17
Chevrolet,Silverado 1500 LT Crew Cab,2006,215,Gasoline,A/T,1,6995,345.0,9,1562,3,0,19
Mercedes-Benz,S-Class S 560,2019,77,Gasoline,A/T,0,49998,387.0,36,1452,3,0,6
Volvo,XC90 T6 Momentum,2018,91,Gasoline,8-Speed A/T,0,25999,232.0,55,1830,3,0,7
Toyota,Camry SE,2011,178,Gasoline,A/T,1,7700,179.0,53,410,3,0,14
Mercedes-Benz,Metris Base,2018,58,Gasoline,7-Speed A/T,0,29497,208.0,36,1077,3,0,7
Chevrolet,Camaro 2LT,2010,86,Gasoline,6-Speed A/T,1,17000,304.0,9,400,3,0,15
Mazda,MX-5 Miata Grand Touring,2012,37,Gasoline,6-Speed Manual,1,20199,167.0,34,1022,3,1,13
Ford,Escape SE,2015,54,Gasoline,6-Speed A/T,0,16250,173.0,14,620,3,0,10
Mercedes-Benz,S-Class S 63 AMG,2015,20,Gasoline,A/T,1,59598,504.0,36,1455,3,0,10
Kia,Niro EX,2023,8,Hybrid,A/T,0,31113,170.0,24,1153,4,0,2
Porsche,Boxster Base,2010,65,Gasoline,6-Speed Manual,1,20900,255.0,43,311,3,1,15
Toyota,4Runner Trail,2016,118,Gasoline,5-Speed A/T,0,27750,270.0,53,89,3,0,9
Hyundai,Kona EV SEL,2019,33,Electric,1-Speed A/T,0,18200,201.0,19,921,2,0,6
Land,Rover Range Rover Evoque SE,2016,86,Gasoline,9-Speed A/T,0,18750,240.0,26,1409,3,0,9
Ford,E350 Super Duty XLT,2012,163,E85 Flex Fuel,A/T,0,19550,255.0,14,563,1,0,13
Mercedes-Benz,SL-Class SL500 Roadster,2004,35,Gasoline,7-Speed A/T,0,24900,302.0,36,1494,3,0,21
Jeep,Compass Trailhawk,2018,31,Gasoline,9-Speed A/T,0,22000,180.0,22,481,3,0,7
Mercedes-Benz,S-Class S 560 4MATIC,2018,103,Gasoline,A/T,0,40998,387.0,36,1453,3,0,7
Mercedes-Benz,G-Class G 550 4MATIC,2021,22,Gasoline,A/T,0,135800,416.0,36,741,3,0,4
Tesla,Model X P90D,2016,91,Electric,A/T,0,39500,691.0,52,1105,2,0,9
Lexus,IS-F Base,2010,42,Gasoline,8-Speed A/T,1,44800,416.0,27,888,3,0,15
BMW,335 i,2010,92,Gasoline,6-Speed A/T,0,13000,300.0,4,50,3,0,15
Audi,RS 7 4.0T,2022,4,Hybrid,8-Speed A/T,0,162500,591.0,3,1309,4,0,3
Buick,Lucerne CXL,2006,110,Gasoline,A/T,0,5000,275.0,7,961,3,0,19
Lincoln,MKX Reserve,2016,88,Gasoline,Transmission w/Dual Shift Mode,0,18500,335.0,28,1014,3,2,9
Nissan,Armada Platinum,2018,43,Gasoline,Transmission w/Dual Shift Mode,0,37000,390.0,39,264,3,2,7
Porsche,911 Carrera,2020,23,Gasoline,A/T,0,114998,341.0,43,143,3,0,5
BMW,435 Gran Coupe i,2015,60,Gasoline,8-Speed A/T,0,24995,300.0,4,72,3,0,10
Jeep,Wagoneer Series III,2022,17,Gasoline,8-Speed A/T,0,69685,369.0,22,1762,3,0,3
Cadillac,ATS 2.5L,2013,63,Gasoline,A/T,1,12995,202.0,8,240,3,0,12
Ford,Transit Connect XLT,2010,72,Gasoline,A/T,1,10900,136.0,14,1714,3,0,15
Kia,EV6 GT-Line,2022,5,Electric,1-Speed A/T,0,47500,320.0,24,570,2,0,3
Audi,S5 3.0T Premium Plus,2014,68,Gasoline,6-Speed Manual,0,25990,333.0,3,1470,3,1,11
Toyota,Tundra SR,2018,51,Gasoline,A/T,0,38000,381.0,53,1735,3,0,7
Jeep,Wrangler Unlimited Freedom Edition,2013,54,Gasoline,A/T,0,35000,285.0,22,1774,3,0,12
Maserati,Quattroporte Base,2006,62,Gasoline,Transmission w/Dual Shift Mode,0,16500,394.0,32,1269,3,2,19
Mercedes-Benz,CLS-Class CLS500,2006,29,Gasoline,7-Speed A/T,0,16750,302.0,36,358,3,0,19
GMC,Sierra 3500 SLE,2002,300,Diesel,5-Speed A/T,1,5000,300.0,15,1552,0,0,23
Nissan,Frontier SL,2011,103,Gasoline,5-Speed A/T,1,17000,261.0,39,731,3,0,14
BMW,M5 Base,2023,816,Gasoline,8-Speed A/T,0,109900,502.0,4,982,3,0,2
Land,Rover Defender X-Dynamic SE,2023,4,Hybrid,A/T,0,81998,341.0,26,1380,4,0,2
Ford,F-150 XL,2016,107,E85 Flex Fuel,6-Speed A/T,1,22000,385.0,14,669,1,0,9
BMW,M8 Competition,2022,5,Gasoline,A/T,0,114998,502.0,4,991,3,0,3
Porsche,911 Carrera S,2010,14,Gasoline,6-Speed Manual,0,71400,385.0,43,153,3,1,15
Volvo,XC70 3.2,2008,47,Gasoline,6-Speed A/T,0,11400,235.0,55,1822,3,0,17
Chrysler,300 Touring,2021,21,Gasoline,A/T,0,27798,304.0,10,33,3,0,4
Honda,Insight EX,2020,64,Hybrid,CVT Transmission,1,20499,151.0,17,903,4,0,5
Porsche,Cayman S,2006,31,Gasoline,5-Speed A/T,0,36250,366.0,43,438,3,0,19
Tesla,Model Y Performance,2022,25,Electric,1-Speed A/T,0,47800,455.0,52,1109,2,0,3
BMW,M5 Competition,2020,35,Gasoline,8-Speed A/T,0,71950,617.0,4,983,3,0,5
Audi,S4 4.2 quattro,2004,74,Gasoline,6-Speed Manual,0,16000,340.0,3,1465,3,1,21
Ford,F-250 Platinum,2021,49,Diesel,A/T,0,69998,422.0,14,677,0,0,4
Kia,Seltos S,2023,5,Gasoline,A/T,0,32500,146.0,24,1525,3,0,2
RAM,ProMaster 2500 High Roof,2019,32,Gasoline,A/T,1,33500,280.0,44,1217,3,0,6
BMW,M760 M760i xDrive,2020,23,Gasoline,A/T,0,80998,442.0,4,988,3,0,5
Mercedes-Benz,E-Class E 400,2015,30,Gasoline,A/T,1,29000,329.0,36,551,3,0,10
Cadillac,XTS Luxury,2016,112,Gasoline,A/T,1,14599,304.0,8,1860,3,0,9
INFINITI,Q50 Premium,2014,127,Gasoline,7-Speed A/T,1,19990,328.0,20,1243,3,0,11
Volkswagen,Touareg V6 Executive,2017,51,Gasoline,8-Speed A/T,1,28890,280.0,54,1701,3,0,8
Chevrolet,Suburban 1500 LTZ,2011,194,E85 Flex Fuel,6-Speed A/T,0,9950,320.0,9,1623,1,0,14
Toyota,Tundra SR5,2021,33,Gasoline,6-Speed A/T,0,44750,381.0,53,1736,3,0,4
BMW,X1 sDrive28i,2022,43,Gasoline,8-Speed A/T,0,35750,228.0,4,1782,3,0,3
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46,Gasoline,7-Speed A/T,0,35300,429.0,36,762,3,0,9
Cadillac,XTS Luxury,2019,59,Gasoline,6-Speed A/T,0,21000,304.0,8,1860,3,0,6
Jaguar,XJ8 Base,2004,134,Gasoline,6-Speed A/T,1,9500,294.0,21,1846,3,0,21
Chevrolet,Camaro ZL1,2020,4,Gasoline,A/T,0,150000,650.0,9,405,3,0,5
Mercedes-Benz,Sprinter 2500,2012,100,Diesel,A/T,1,24000,188.0,36,1610,0,0,13
Mercedes-Benz,C-Class C 300 4MATIC,2022,9,Gasoline,9-Speed A/T,0,42999,232.0,36,335,3,0,3
Dodge,Dakota SLT,2003,142,Gasoline,A/T,1,5700,230.0,11,534,3,0,22
Audi,A5 2.0T Premium Plus,2012,77,Gasoline,8-Speed A/T,0,13800,211.0,3,177,3,0,13
Audi,A5 2.0T Premium,2018,67,Gasoline,Transmission w/Dual Shift Mode,1,31500,252.0,3,176,3,2,7
Audi,S5 3.0 Premium Plus,2012,61,Gasoline,7-Speed A/T,0,19500,333.0,3,1468,3,0,13
Porsche,Panamera GTS,2015,40,Gasoline,Transmission w/Dual Shift Mode,0,52590,440.0,43,1190,3,2,10
Mercedes-Benz,AMG GT C,2020,7,Gasoline,Transmission w/Dual Shift Mode,0,128900,550.0,36,235,3,2,5
Chevrolet,Camaro 2SS,2023,2,Gasoline,6-Speed Manual,0,51500,455.0,9,401,3,1,2
Audi,Q7 Premium Plus,2023,11,Hybrid,A/T,0,61998,341.0,3,1251,4,0,2
Maserati,GranTurismo MC,2018,18,Gasoline,Transmission w/Dual Shift Mode,0,67000,454.0,32,836,3,2,7
GMC,Sierra 2500 AT4,2022,32,Gasoline,A/T,1,67963,442.0,15,1546,3,0,3
Cadillac,XT6 Sport AWD,2020,24,Gasoline,9-Speed A/T,1,49427,304.0,8,1859,3,0,5
Jeep,Grand Cherokee L Laredo,2022,22,Gasoline,A/T,0,43389,304.0,22,841,3,0,3
Chevrolet,Avalanche 1500 LT,2012,148,E85 Flex Fuel,A/T,0,18000,320.0,9,279,1,0,13
BMW,M5 Base,2018,41,Gasoline,Transmission w/Dual Shift Mode,0,60200,600.0,4,982,3,2,7
Nissan,Titan SE,2009,128,E85 Flex Fuel,A/T,0,19500,317.0,39,1695,1,0,16
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138,Gasoline,4-Speed A/T,1,19000,500.0,11,1340,3,0,20
GMC,Sierra 1500 SLT,2013,230,E85 Flex Fuel,A/T,0,15500,315.0,15,1545,1,0,12
Lexus,RX 350 F Sport,2017,54,Gasoline,A/T,0,33000,295.0,27,1323,3,0,8
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174,Gasoline,7-Speed A/T,1,11999,335.0,36,760,3,0,13
INFINITI,QX80 Luxe,2022,50,Gasoline,A/T,1,47645,384.0,20,1267,3,0,3
Mercedes-Benz,AMG C 63 S,2021,14,Gasoline,9-Speed A/T,0,75000,503.0,36,210,3,0,4
BMW,528 i xDrive,2016,134,Gasoline,A/T,1,13500,240.0,4,98,3,0,9
Porsche,911 Carrera,2014,78,Gasoline,Transmission w/Dual Shift Mode,0,68000,350.0,43,143,3,2,11
Porsche,Boxster S,2005,66,Gasoline,A/T,0,21750,280.0,43,315,3,0,20
BMW,X6 M Base,2021,18,Gasoline,8-Speed A/T,0,94000,600.0,4,1807,3,0,4
Ford,Mustang Premium,2007,122,Gasoline,A/T,0,9450,210.0,14,1127,3,0,18
Rivian,R1S Launch Edition,2023,4,Electric,1-Speed A/T,0,89999,835.0,45,1278,2,0,2
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9,Hybrid,8-Speed A/T,0,61999,232.0,55,1828,4,0,3
BMW,528 i xDrive,2016,120,Gasoline,A/T,0,16000,240.0,4,98,3,0,9
Cadillac,Escalade ESV Platinum,2016,169,Gasoline,8-Speed A/T,0,29500,420.0,8,604,3,0,9
Chevrolet,Corvette Base,2004,44,Gasoline,6-Speed Manual,0,25900,350.0,9,505,3,1,21
Audi,A5 2.0T Premium,2013,111,Gasoline,Transmission w/Dual Shift Mode,0,11500,211.0,3,176,3,2,12
Audi,TT 2.0T Premium,2012,65,Gasoline,Transmission w/Dual Shift Mode,0,17000,211.0,3,1655,3,2,13
Buick,LaCrosse CX,2007,53,Gasoline,4-Speed A/T,0,6500,200.0,7,938,3,0,18
Chevrolet,Camaro 2SS,2017,13,Gasoline,8-Speed A/T,0,44900,455.0,9,401,3,0,8
Tesla,Model Y Long Range,2023,6,Electric,A/T,0,52000,425.0,52,1108,2,0,2
BMW,M3 Base,2015,74,Gasoline,Manual,0,40000,425.0,4,970,3,1,10
Kia,Optima LX,2011,100,Gasoline,A/T,1,6900,200.0,24,1162,3,0,14
Toyota,Supra 3.0 Premium,2022,25,Gasoline,A/T,0,53568,382.0,53,1632,3,0,3
Lincoln,Nautilus Reserve,2021,17,Gasoline,8-Speed A/T,0,43860,232.0,28,1142,3,0,4
Nissan,Pathfinder SL,2015,115,Gasoline,A/T,0,11995,260.0,39,1201,3,0,10
BMW,X5 xDrive50i,2015,72,Gasoline,Transmission w/Dual Shift Mode,1,26500,445.0,4,1806,3,2,10
Mazda,MazdaSpeed3 Grand Touring,2008,162,Gasoline,6-Speed Manual,1,6500,263.0,34,1076,3,1,17
GMC,Yukon XL SLT,2017,48,Gasoline,A/T,0,45500,355.0,15,1873,3,0,8
RAM,ProMaster 2500 High Roof,2018,10,Gasoline,6-Speed A/T,0,36990,280.0,44,1217,3,0,7
RAM,1500 Classic SLT,2021,32,Gasoline,8-Speed A/T,0,35113,304.0,44,7,3,0,4
Lexus,GS 350 Base,2014,85,Gasoline,A/T,1,23998,309.0,27,781,3,0,11
Hyundai,Tucson Limited,2016,138,Gasoline,7-Speed A/T,0,10990,175.0,19,1725,3,0,9
Chevrolet,SSR Base,2003,88,Gasoline,A/T,0,16999,300.0,9,1513,3,0,22
Maserati,GranTurismo Base,2013,35,Gasoline,6-Speed A/T,0,38900,440.0,32,835,3,0,12
BMW,M2 Base,2018,25,Gasoline,7-Speed A/T,0,52000,365.0,4,964,3,0,7
Tesla,Model Y Long Range,2021,15,Electric,A/T,0,48500,425.0,52,1108,2,0,4
Subaru,Outback 2.5i Limited,2015,162,Gasoline,CVT Transmission,0,13999,175.0,50,1166,3,0,10
Buick,Roadmaster Estate,1996,120,Gasoline,4-Speed A/T,1,16999,260.0,7,1360,3,0,29
Land,Rover Range Rover 5.0L Supercharged,2017,102,Gasoline,A/T,0,36500,510.0,26,1399,3,0,8
Ford,Expedition Max XLT,2021,84,Gasoline,10-Speed A/T,0,42691,309.0,14,639,3,0,4
Nissan,Leaf SL,2012,27,Electric,1-Speed A/T,0,6700,107.0,39,950,2,0,13
Toyota,Tacoma TRD Pro,2019,41,Gasoline,6-Speed,0,42886,309.0,53,1666,3,2,6
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40,Gasoline,9-Speed A/T,0,112500,630.0,36,231,3,0,5
BMW,230 i,2019,30,Gasoline,8-Speed A/T,1,29000,248.0,4,23,3,0,6
Lexus,ES 350 Base,2007,79,Gasoline,6-Speed A/T,1,10600,272.0,27,569,3,0,18
Porsche,911 Carrera S Cabriolet,2007,29,Gasoline,6-Speed Manual,0,69995,352.0,43,154,3,1,18
Maserati,Levante Modena,2023,5,Gasoline,8-Speed A/T,0,88950,341.0,32,956,3,0,2
Dodge,Challenger SRT Hellcat,2020,13,Gasoline,8-Speed A/T,1,69900,717.0,11,446,3,0,5
Mazda,Mazda6 Touring,2021,19,Gasoline,A/T,0,25900,187.0,34,1071,3,0,4
Audi,S4 3.0T Premium,2019,12,Gasoline,A/T,0,48000,349.0,3,1463,3,0,6
Ford,Mustang GT Premium,2016,26,Gasoline,6-Speed Manual,0,33900,435.0,14,1122,3,1,9
Tesla,Model Y Long Range,2022,12,Electric,A/T,0,44400,425.0,52,1108,2,0,3
Audi,TTS 2.0T Premium Plus,2011,70,Gasoline,6-Speed A/T,1,23000,265.0,3,1660,3,0,14
BMW,M2 Competition,2020,25,Gasoline,7-Speed A/T,0,55000,405.0,4,966,3,0,5
Audi,Q4 e-tron Sportback Premium,2023,1,Electric,A/T,0,54900,295.0,3,1228,2,0,2
BMW,740 i,2016,58,Gasoline,8-Speed A/T,0,27500,320.0,4,126,3,0,9
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,53,Gasoline,Transmission w/Dual Shift Mode,0,49999,385.0,36,225,3,2,7
Mercedes-Benz,S-Class S 550 4MATIC,2015,54,Gasoline,7-Speed A/T,0,37000,449.0,36,1451,3,0,10
Honda,S2000 Base,2002,110,Gasoline,6-Speed Manual,0,27000,240.0,17,1458,3,1,23
Chevrolet,Corvette Base,2000,98,Gasoline,6-Speed Manual,0,10000,345.0,9,505,3,1,25
Chevrolet,Colorado Z71,2020,21,Gasoline,A/T,0,35387,304.0,9,472,3,0,5
Mercedes-Benz,S-Class S 63 AMG,2013,78,Gasoline,7-Speed A/T,0,40000,536.0,36,1455,3,0,12
Bentley,Continental GTC Base,2013,79,Gasoline,8-Speed A/T,0,64000,616.0,5,489,3,0,12
GMC,Sierra 2500 SLE H/D Extended Cab,2002,54,Gasoline,A/T,1,16900,340.0,15,1550,3,0,23
Audi,SQ5 3.0T Premium,2020,22,Gasoline,8-Speed A/T,0,42000,349.0,3,1505,3,0,5
Toyota,Corolla iM Base,2017,42,Gasoline,6-Speed Manual,0,18700,137.0,53,501,3,1,8
GMC,Yukon XL SLT,2017,110,Gasoline,A/T,1,34999,355.0,15,1873,3,0,8
Toyota,Tundra 1794,2020,67,Gasoline,A/T,0,47500,381.0,53,1728,3,0,5
Subaru,WRX Premium,2017,63,Gasoline,Manual,1,24000,268.0,50,1759,3,1,8
Subaru,WRX Base,2015,102,Gasoline,Manual,1,18000,268.0,50,1757,3,1,10
INFINITI,Q50 Premium,2014,80,Gasoline,7-Speed A/T,1,16488,328.0,20,1243,3,0,11
Chevrolet,Suburban Premier,2017,167,Gasoline,6-Speed A/T,1,24950,355.0,9,1629,3,0,8
Toyota,Sequoia Limited,2006,191,Gasoline,A/T,1,8900,273.0,53,1527,3,0,19
Porsche,Cayenne GTS,2009,136,Gasoline,Transmission w/Dual Shift Mode,0,15000,405.0,43,427,3,2,16
Kia,Telluride S,2023,15,Gasoline,8-Speed A/T,0,39900,291.0,24,1684,3,0,2
Mercedes-Benz,AMG E 63 S 4MATIC,2019,13,Gasoline,9-Speed A/T,1,96000,603.0,36,216,3,0,6
BMW,Z4 sDrive35is,2014,4,Gasoline,Transmission w/Dual Shift Mode,0,64995,335.0,4,1881,3,2,11
Subaru,Impreza 2.0i Sport,2017,44,Gasoline,5-Speed Manual,0,23500,152.0,50,894,3,1,8
Dodge,Dart SE,2015,66,Gasoline,6-Speed Manual,0,12000,160.0,11,537,3,1,10
Land,Rover Range Rover P525 Westminster,2021,18,Gasoline,8-Speed A/T,0,89900,447.0,26,1416,3,0,4
Nissan,370Z Base,2013,107,Gasoline,6-Speed Manual,0,17500,332.0,39,60,3,1,12
Cadillac,Escalade ESV Luxury,2020,120,Gasoline,10-Speed A/T,0,55000,420.0,8,603,3,0,5
Mercedes-Benz,E-Class E 350,2012,60,Gasoline,Transmission w/Dual Shift Mode,0,19900,302.0,36,549,3,2,13
Kia,Optima Hybrid EX,2012,117,Hybrid,A/T,0,8900,206.0,24,1160,4,0,13
Chevrolet,Silverado 3500 LTZ,2022,85,Diesel,10-Speed A/T,0,67500,445.0,9,1581,0,0,3
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63,Gasoline,6-Speed Manual,0,24325,220.0,54,827,3,1,7
Dodge,Ram 1500 SRT-10,2004,73,Gasoline,6-Speed Manual,0,22500,500.0,11,1339,3,1,21
Scion,tC Anniversary Edition,2014,115,Gasoline,6-Speed Manual,0,11495,179.0,49,1894,3,1,11
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56,Gasoline,8-Speed A/T,0,49900,510.0,26,1400,3,0,9
Lexus,LS 500 Base,2018,67,Gasoline,10-Speed A/T,0,40900,309.0,27,928,3,0,7
Chevrolet,Suburban 1500 LT,2015,179,Gasoline,6-Speed A/T,1,16000,355.0,9,1622,3,0,10
Maserati,GranTurismo Base,2015,28,Gasoline,6-Speed A/T,0,44999,444.0,32,835,3,0,10
Porsche,911 Carrera Turbo,2003,155,Gasoline,6-Speed Manual,0,55000,415.0,43,155,3,1,22
Hyundai,Sonata Hybrid Base,2012,154,Hybrid,A/T,1,8500,206.0,19,1587,4,0,13
Cadillac,CTS Luxury,2012,62,Gasoline,6-Speed A/T,1,18955,270.0,8,376,3,0,13
BMW,323 Ci,2000,178,Gasoline,5-Speed A/T,0,2500,170.0,4,39,3,0,25
Nissan,370Z Touring,2012,65,Gasoline,6-Speed Manual,0,21500,332.0,39,63,3,1,13
Mercedes-Benz,GLS 450 Base 4MATIC,2018,63,Gasoline,A/T,1,38598,341.0,36,776,3,0,7
Ford,Mustang GT Premium,2021,3,Gasoline,6-Speed Manual,0,49500,460.0,14,1122,3,1,4
Audi,Q5 2.0T Premium,2012,119,Gasoline,A/T,0,12000,211.0,3,1230,3,0,13
RAM,2500 Big Horn,2013,199,Diesel,6-Speed A/T,0,25000,350.0,44,25,0,0,12
Dodge,Ram 1500 ST,2011,188,Gasoline,A/T,1,8500,210.0,11,1341,3,0,14
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157,Gasoline,A/T,0,10750,248.0,36,337,3,0,12
Dodge,Challenger SRT Hellcat,2016,8,Gasoline,8-Speed A/T,0,62500,707.0,11,446,3,0,9
Land,Rover Range Rover 3.0L Supercharged HSE,2018,73,Gasoline,A/T,0,42950,380.0,26,1397,3,0,7
BMW,M4 Base,2018,11,Gasoline,6-Speed Manual,0,60995,425.0,4,976,3,1,7
Mercedes-Benz,S-Class S 560 4MATIC,2018,63,Gasoline,A/T,1,47000,463.0,36,1453,3,0,7
Chevrolet,Express 3500 Base,2009,75,Gasoline,A/T,0,18900,319.0,9,656,3,0,16
Toyota,4Runner TRD Pro,2016,98,Gasoline,A/T,1,36000,270.0,53,87,3,0,9
Mazda,MX-5 Miata Grand Touring,2012,34,Gasoline,6-Speed Manual,0,18900,167.0,34,1022,3,1,13
Volkswagen,Touareg VR6 Lux,2012,123,Gasoline,A/T,1,12449,280.0,54,1702,3,0,13
Jaguar,XJ Base,2013,112,Gasoline,A/T,0,8800,340.0,21,1843,3,0,12
Chevrolet,Camaro 2SS,2010,68,Gasoline,6-Speed A/T,1,19500,426.0,9,401,3,0,15
INFINITI,G37 x,2012,120,Gasoline,Transmission w/Dual Shift Mode,1,14500,328.0,20,748,3,2,13
BMW,X6 xDrive50i,2019,45,Gasoline,8-Speed A/T,1,46999,445.0,4,1812,3,0,6
Chevrolet,Camaro LT1,2022,7,Gasoline,10-Speed A/T,0,39500,455.0,9,403,3,0,3
Mercedes-Benz,S-Class S 63 AMG,2015,41,Gasoline,7-Speed A/T,0,59750,577.0,36,1455,3,0,10
Cadillac,Escalade ESV Premium Luxury,2018,74,Gasoline,10-Speed A/T,0,45000,420.0,8,606,3,0,7
Toyota,Camry Hybrid XLE,2014,94,Hybrid,A/T,0,15999,200.0,53,408,4,0,11
Audi,A6 3.0T Prestige,2015,108,Gasoline,Transmission w/Dual Shift Mode,0,19998,310.0,3,185,3,2,10
BMW,X5 M Base,2012,118,Gasoline,Transmission w/Dual Shift Mode,1,17000,555.0,4,1797,3,2,13
Jaguar,F-PACE SVR,2020,39,Gasoline,Transmission w/Dual Shift Mode,0,57500,550.0,21,696,3,2,5
BMW,740 i,2017,55,Gasoline,Transmission w/Dual Shift Mode,0,40000,320.0,4,126,3,2,8
BMW,M340 i xDrive,2021,35,Hybrid,8-Speed A/T,1,49999,382.0,4,974,4,0,4
Jeep,Wrangler Unlimited Sport,2016,85,Gasoline,5-Speed A/T,0,30000,285.0,22,1778,3,0,9
RAM,2500 Tradesman,2018,64,Gasoline,6-Speed A/T,0,36000,410.0,44,30,3,0,7
Ford,Mustang V6,2016,87,Gasoline,6-Speed A/T,0,19999,300.0,14,1130,3,0,9
BMW,328 i,1997,206,Gasoline,5-Speed Manual,1,15900,190.0,4,43,3,1,28
Mercedes-Benz,GL-Class GL 450,2011,113,Gasoline,7-Speed A/T,0,11999,335.0,36,759,3,0,14
Rivian,R1S Adventure Package,2023,1,Electric,A/T,0,96850,835.0,45,1277,2,0,2
Tesla,Model Y Long Range,2023,10,Electric,A/T,0,48000,425.0,52,1108,2,0,2
Mercedes-Benz,E-Class E 350,2022,14,Gasoline,9-Speed A/T,0,53000,255.0,36,549,3,0,3
BMW,X7 xDrive40i,2023,14,Hybrid,8-Speed A/T,0,85495,375.0,4,1815,4,0,2
Chevrolet,Trailblazer RS,2023,10,Gasoline,9-Speed A/T,0,32000,155.0,9,1710,3,0,2
Chevrolet,Suburban 1500 LTZ,2015,218,Gasoline,A/T,0,20000,355.0,9,1623,3,0,10
Chevrolet,Suburban Premier,2021,74,Gasoline,10-Speed A/T,0,60995,339.0,9,1629,3,0,4
Jeep,Gladiator Overland,2020,40,Gasoline,Transmission w/Dual Shift Mode,0,45000,285.0,22,817,3,2,5
GMC,Yukon XL AT4,2023,10,Gasoline,10-Speed A/T,0,82000,355.0,15,1871,3,0,2
Mazda,Mazda6 Grand Touring Reserve,2019,42,Gasoline,6-Speed A/T,0,24995,227.0,34,1069,3,0,6
Alfa,Romeo Giulia Ti,2021,2,Gasoline,8-Speed A/T,0,39000,280.0,1,1368,3,0,4
